,Lyrics,Joy,Trust,Fear,Surprise,Sadness,Disgust,Anger,Anticipation
0,one day life understand fight surviv taught lucki one lucki one one day life understand fight surviv taught lucki one lucki one lucki one lucki one,1,1,0,1,0,0,0,0
1,hypnot love without air even breath lead way light sing lullabi cherri ashtray take day got ta make drunk memori see puddl chardonnay sleep bathtub wish late keep safe cloud caus come rain make monster sleep mind sing lullabi hypnot love without air even breath lead way light sing lullabi cherri ashtray take day got ta make drunk memori see puddl chardonnay sleep bathtub wish late keep safe cloud caus come rain make monster sleep mind sing lullabi,0,0,1,0,1,0,0,0
2,stand littl close stare littl long danc everi time air like smoke lip find word trace kiss tast tast tast mind time race shot love tip tongu tip tongu,1,1,0,0,0,0,0,1
3,fall piec need need fault weak turn cold cut bone danc soul fall piec piec piec still stay caus thing know take take home take home home home take home home home take take take take take home home home home round circl go highest high lowest low one shake like best mistak sweet afflict caus hurt right nice round circl go still stay caus thing know take take home take home home home take home home home take take take take take home home home take home home home take take still stay take home take home,0,0,0,1,1,1,0,0
4,everyth seem like citi dream never know still miss stand field light close eye still miss still miss still miss everyth seem like citi dream never know still miss stand field light close eye still miss still miss still miss,0,0,0,1,1,0,0,0
5,end alon done paid get want load gun made alon peopl think know made see paid find way see came pay aliv relax maid never let go alway one regret let go way could stay paid leav time let wait could assur hold hope see tri find home think back come understand tell pretend hear care stuff thing might feel rough let go hold room hold room hold room never let go alway one regret let go let go let go let go let go hold room hold room hold room rememb time like alway one realli love never let go let go let go let go let go let go,0,0,0,1,1,1,1,0
6,nobodi knock door sound silenc take anymor nobodi ring telephon miss beauti sound even know surviv make show without light even know aliv without feel like noth hold memori frame remind battl face without love without drown somebodi save go even know surviv make show without light even know aliv without feel like even know surviv make road one headlight even know aliv without feel like,0,0,1,0,1,0,0,0
7,need get chest know know know babi best know know saw come mile away better speak got someth say caus sing reason knew would go anywher caus sing need get chest know know know babi best know know good intent sweet pure never tame fire like sing right want knee got beg pretti babi set free caus sing come littl closer let tast smile morn light go back way look tonight see eye need get chest know know know babi best know know know know know know know know know know know know need get chest know know know babi best know know,1,0,0,0,0,0,0,1
8,day hard make know make wind alway chang hold know up down hard stand face long togeth moment never wast love made daylight love made midnight heart fade black sky come back life sunris hello turn goodby know still side heart fade black sky come back life sunris come back life sunris sometim like rainstorm problem pour run real thing feel found know up down hard stand face long togeth moment never wast love made daylight love made midnight heart fade black sky come back life sunris hello turn goodby know still side heart fade black sky come back life sunris love made daylight love made midnight heart fade black sky come back life sunris,1,1,0,0,0,0,0,1
9,solo solo everybodi solo everybodi solo solo everybodi never meant leav hurtin never meant worst thing solo solo everybodi caus everi time read messag wish one ex fool solo solo everybodi sinc gone danc boy zone turn caus babi one come take wan fuck woop woop woop broken heart cri like parti touch got nobodi wan fuck woop woop woop broken heart cri sinc day part touch got nobodi solo solo solo everybodi solo everybodi solo solo everybodi solo solo solo everybodi solo everybodi solo solo everybodi solo everi singl night lose even hear music without solo solo everybodi tri stop call realli wan know someon new solo solo everybodi sinc gone danc boy zone turn caus babi one come take wan fuck woop woop woop broken heart cri like parti touch got nobodi wan fuck woop woop woop broken heart cri sinc day part touch got nobodi solo solo solo everybodi solo everybodi solo solo everybodi solo solo solo everybodi solo everybodi solo solo everybodi solo solo wan fuck woop woop woop broken heart cri like parti touch got nobodi wan fuck woop woop woop broken heart cri sinc day part touch got nobodi solo solo solo everybodi solo everybodi solo solo everybodi solo solo solo everybodi solo everybodi solo solo everybodi solo solo,0,0,0,0,1,1,0,0
